,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
65,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
66,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
67,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
68,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
69,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
70,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
71,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
72,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
73,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
74,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
75,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
76,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
77,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
78,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
79,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
80,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
